Site,Location,Criteria,Areaha (acre),Year_num,lat,lon,country,site_page_name,site_page_link
Archaeological Sites of the Island of Meroe,"SudMeroë, Sudan16°56′00″N 33°43′00″E﻿ / ﻿16.933333°N 33.716667°E﻿ / 16.933333; 33.716667﻿ (Archaeological Sites of the Island of Meroe)","Cultural:SudArc(ii), (iii), (iv), (v)","7007235700000000000♠2,357 (5,820)",2006,16.933332443237305,33.71666717529297,Sudan,/wiki/Mero%C3%AB,https://en.wikipedia.org/wiki/Mero%C3%AB
Asante Traditional Buildings,"GhaKumasi, Ghana6°24′04″N 1°37′33″W﻿ / ﻿6.401111°N 1.625833°W﻿ / 6.401111; -1.625833﻿ (Asante Traditional Buildings)",Cultural:GhaAsa(v),—,2006,6.401111125946045,1.6258333921432495,Ghana,/wiki/Asante_Traditional_Buildings,https://en.wikipedia.org/wiki/Asante_Traditional_Buildings
Asmara,"EriMaekel, Eritrea15°20′07″N 38°56′09″E﻿ / ﻿15.335277777777778°N 38.935833333333335°E﻿ / 15.335277777777778; 38.935833333333335﻿ (Asmara)",Cultural:EriAsm(ii)(iv),"7006481000000000000♠481 (1,190)",2006,15.335277557373047,38.93583297729492,Eritrea,/wiki/Asmara,https://en.wikipedia.org/wiki/Asmara
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes","Sen Senegal12°35′36″N 12°50′45″W﻿ / ﻿12.593333°N 12.845833°W﻿ / 12.593333; -12.845833﻿ (Bassari Country: Bassari, Fula and Bedik Cultural Landscapes)","Cultural:SenBas(iii), (v), (vi)","7008503090000000000♠50,309 (124,320)",2006,12.59333324432373,12.845833778381348,Senegal,NA,https://en.wikipedia.orgNA
Chongoni Rock-Art Area,"MalawiDedza District, Malawi14°17′36″S 34°16′45″E﻿ / ﻿14.293333°S 34.279167°E﻿ / -14.293333; 34.279167﻿ (Chongoni Rock-Art Area)","Cultural:MalawiCho(iii), (vi)","7008126400000000000♠12,640 (31,200)",2006,14.293333053588867,34.27916717529297,Malawi,/wiki/Chongoni_Rock-Art_Area,https://en.wikipedia.org/wiki/Chongoni_Rock-Art_Area
"Cidade Velha, Historic Centre of Ribeira Grande","CapeRibeira Grande, Cape Verde14°54′55″N 23°36′19″W﻿ / ﻿14.915139°N 23.605194°W﻿ / 14.915139; -23.605194﻿ (Cidade Velha, Historic Centre of Ribeira Grande)","Cultural:CapeCid(ii), (iii), (vi)",7006209000000000000♠209 (520),2006,14.915277481079102,23.60527801513672,NA,/wiki/Cidade_Velha,https://en.wikipedia.org/wiki/Cidade_Velha
Djémila,"AlgSétif, Algeria36°19′14″N 5°44′12″E﻿ / ﻿36.320560°N 5.736670°E﻿ / 36.320560; 5.736670﻿ (Djémila)","Cultural:AlgDje(iii), (iv)",7005300000000000000♠30 (74),2006,36.320556640625,5.736666679382324,Algeria,/wiki/Dj%C3%A9mila,https://en.wikipedia.org/wiki/Dj%C3%A9mila
Dougga / Thugga,"TunBeBéja Governorate, Tunisia36°25′25″N 9°13′13″E﻿ / ﻿36.423610°N 9.220280°E﻿ / 36.423610; 9.220280﻿ (Dougga/Thugga)","Cultural:TunDou(ii), (iii)",7005700000000000000♠70 (170),2006,36.42361068725586,9.220277786254883,Tunisia,/wiki/Dougga,https://en.wikipedia.org/wiki/Dougga
"Fasil Ghebbi, Gondar Region","EthAmhara Region, Ethiopia12°36′25″N 37°27′58″E﻿ / ﻿12.606920°N 37.466170°E﻿ / 12.606920; 37.466170﻿ (Fasil Ghebbi, Gondar Region)","Cultural:EthFas(ii), (iii)",—,2006,12.60694408416748,37.46611022949219,Ethiopia,/wiki/Fasil_Ghebbi,https://en.wikipedia.org/wiki/Fasil_Ghebbi
"Fort Jesus, Mombasa","KenMombasa, Kenya4°03′46″S 39°40′46″E﻿ / ﻿4.062778°S 39.679444°E﻿ / -4.062778; 39.679444﻿ (Fort Jesus, Mombasa)","Cultural:KenLak(i), (iv)","7009161485000000000♠161,485 (399,040)",2006,4.062777996063232,39.679443359375,Kenya,/wiki/Fort_Jesus,https://en.wikipedia.org/wiki/Fort_Jesus
"Forts and Castles, Volta, Greater Accra, Central and Western Regions","GhaCentral Region,Greater Accra,Volta Region,and Western Region, Ghana5°14′51″N 0°47′07″W﻿ / ﻿5.247398°N 0.785167°W﻿ / 5.247398; -0.785167﻿ (Forts and Castles, Volta, Greater Accra, Central and Western Regions)",Cultural:GhaFor(vi),—,2006,5.247499942779541,0.785277783870697,Ghana,"/wiki/Forts_and_Castles,_Volta,_Greater_Accra,_Central_and_Western_Regions","https://en.wikipedia.org/wiki/Forts_and_Castles,_Volta,_Greater_Accra,_Central_and_Western_Regions"
Fossil Hominid Sites of South Africa[c],"SouthGauteng,Limpopo,and North West, South Africa24°09′31″S 29°10′37″E﻿ / ﻿24.158610°S 29.176940°E﻿ / -24.158610; 29.176940﻿ (Fossil Hominid Sites of South Africa)","Cultural:SouthCra(iii), (vi)",—,2006,24.158611297607422,29.176944732666016,South Africa,NA,https://en.wikipedia.orgNA
Gebel Barkal and the Sites of the Napatan Region,"SudMeroë, Sudan18°32′00″N 31°49′00″E﻿ / ﻿18.533333°N 31.816667°E﻿ / 18.533333; 31.816667﻿ (Gebel Barkal and the Sites of the Napatan Region)","Cultural:SudGeb(i), (ii),(iii), (iv), (vi)",7006183000000000000♠183 (450),2006,18.53333282470703,31.816667556762695,Sudan,/wiki/Gebel_Barkal_and_the_Sites_of_the_Napatan_Region,https://en.wikipedia.org/wiki/Gebel_Barkal_and_the_Sites_of_the_Napatan_Region
Great Zimbabwe National Monument,"ZimMasvingo Province, Zimbabwe20°17′00″S 30°56′00″E﻿ / ﻿20.283333°S 30.933333°E﻿ / -20.283333; 30.933333﻿ (Great Zimbabwe National Monument)","Cultural:ZimGre(i), (iii), (vi)","7006722000000000000♠722 (1,780)",2006,20.28333282470703,30.933332443237305,Zimbabwe,/wiki/Great_Zimbabwe,https://en.wikipedia.org/wiki/Great_Zimbabwe
"Harar Jugol, the Fortified Historic Town","EthHarari Region, Ethiopia9°18′32″N 42°08′16″E﻿ / ﻿9.308889°N 42.137778°E﻿ / 9.308889; 42.137778﻿ (Harar Jugol, the Fortified Historic Town)","Cultural:EthHar(ii), (iii),(iv), (v)",7005480000000000000♠48 (120),2006,9.30888843536377,42.137779235839844,Ethiopia,"/wiki/Harar_Jugol,_the_Fortified_Historic_Town","https://en.wikipedia.org/wiki/Harar_Jugol,_the_Fortified_Historic_Town"
Historic Cairo,"EgyCairo, Egypt30°03′00″N 31°15′40″E﻿ / ﻿30.050000°N 31.261110°E﻿ / 30.050000; 31.261110﻿ (Historic Cairo)","Cultural:EgyHis(i), (v), (vi)","7006524000000000000♠524 (1,290)",2006,30.049999237060547,31.261110305786133,Egypt,/wiki/Islamic_Cairo,https://en.wikipedia.org/wiki/Islamic_Cairo
Historic Centre of Agadez,"Niger1Tchirozerine Department, Niger16°58′25″N 7°59′29″E﻿ / ﻿16.973611°N 7.991389°E﻿ / 16.973611; 7.991389﻿ (Historic Centre of Agadez)","Cultural:Niger1Aga(ii), (iii)",7005780000000000000♠78 (190),2006,1,16.97361183166504,Niger,/wiki/Agadez,https://en.wikipedia.org/wiki/Agadez
Historic City of Meknes,"MorMeknes, Morocco33°53′00″N 5°33′30″W﻿ / ﻿33.883330°N 5.558330°W﻿ / 33.883330; -5.558330﻿ (Historic City of Meknes)",Cultural:MorHis(iv),—,2006,33.88333511352539,5.558333396911621,Morocco,/wiki/Meknes,https://en.wikipedia.org/wiki/Meknes
Historic Town of Grand-Bassam,"CoteSud-Comoé, Côte d'Ivoire5°11′45″N 3°44′11″W﻿ / ﻿5.195914°N 3.736369°W﻿ / 5.195914; -3.736369﻿ (Historic Town of Grand-Bassam)","Cultural:CotSud(iii), (iv)",7006110000000000000♠110 (270),2006,5.195833206176758,3.736388921737671,NA,/wiki/Grand-Bassam,https://en.wikipedia.org/wiki/Grand-Bassam
Island of Gorée,"SenDakar Region, Senegal14°40′02″N 17°24′03″W﻿ / ﻿14.667220°N 17.400830°W﻿ / 14.667220; -17.400830﻿ (Island of Gorée)",Cultural:SenIslandofGor(vi),—,2006,14.667222023010254,17.400833129882812,Senegal,/wiki/Island_of_Gor%C3%A9e,https://en.wikipedia.org/wiki/Island_of_Gor%C3%A9e
Island of Mozambique,"MozNampula, Mozambique15°02′03″S 40°44′09″E﻿ / ﻿15.034170°S 40.735830°E﻿ / -15.034170; 40.735830﻿ (Island of Mozambique)","Cultural:MozIsl(iv), (vi)",—,2006,15.03416633605957,40.73583221435547,Mozambique,/wiki/Island_of_Mozambique,https://en.wikipedia.org/wiki/Island_of_Mozambique
Island of Saint-Louis,"SenSaint-Louis Region, Senegal16°01′40″N 16°30′16″W﻿ / ﻿16.027780°N 16.504440°W﻿ / 16.027780; -16.504440﻿ (Island of Saint-Louis)","Cultural:SenIslandofSai(ii), (iv)",—,2006,16.02777862548828,16.504444122314453,Senegal,"/wiki/Saint-Louis,_Senegal","https://en.wikipedia.org/wiki/Saint-Louis,_Senegal"
Kairouan,"TunKairouan Governorate, Tunisia35°40′54″N 10°06′14″E﻿ / ﻿35.681670°N 10.103890°E﻿ / 35.681670; 10.103890﻿ (Kairouan)","Cultural:TunKai(i), (ii), (iii), (v), (vi)",—,2006,35.68166732788086,10.103888511657715,Tunisia,/wiki/Kairouan,https://en.wikipedia.org/wiki/Kairouan
Kasbah of Algiers,"AlgAlgiers, Algeria36°47′00″N 3°03′37″E﻿ / ﻿36.783330°N 3.060280°E﻿ / 36.783330; 3.060280﻿ (Kasbah of Algiers)","Cultural:AlgKas(ii), (v)",7005600000000000000♠60 (150),2006,36.78333282470703,3.0602777004241943,Algeria,/wiki/Kasbah_of_Algiers,https://en.wikipedia.org/wiki/Kasbah_of_Algiers
Khami Ruins National Monument,"ZimMatabeleland, Zimbabwe20°09′30″S 28°22′36″E﻿ / ﻿20.158333°S 28.376667°E﻿ / -20.158333; 28.376667﻿ (Khami Ruins National Monument)","Cultural:ZimKha(iii), (iv)",—,2006,20.15833282470703,28.376667022705078,Zimbabwe,/wiki/Khami_Ruins_National_Monument,https://en.wikipedia.org/wiki/Khami_Ruins_National_Monument
ǂKhomani Cultural Landscape,"ZafNorthern Cape, South Africa25°41′15″S 20°22′29″E﻿ / ﻿25.68761111111111°S 20.374583333333334°E﻿ / -25.68761111111111; 20.374583333333334﻿ (ǂKhomani Cultural Landscape)","Cultural:ZimKha(iii), (iv), (v), (vi)","7009959100000000000♠959,100 (2,370,000)",2006,25.6875,20.37472152709961,South Africa,NA,https://en.wikipedia.orgNA
Kondoa Rock-Art Sites,"TanKondoa District, Tanzania, United Republic of4°43′28″S 35°50′02″E﻿ / ﻿4.724444°S 35.833889°E﻿ / -4.724444; 35.833889﻿ (Kondoa Rock-Art Sites)","Cultural:TanKon(iii), (vi)","7009233600000000000♠233,600 (577,000)",2006,4.724444389343262,35.83388900756836,Tanzania,/wiki/Kondoa_Rock-Art_Sites,https://en.wikipedia.org/wiki/Kondoa_Rock-Art_Sites
Konso Cultural Landscape,"EthSouthern Nations, Nationalities, and People's Region, Ethiopia5°18′N 37°24′E﻿ / ﻿5.3°N 37.4°E﻿ / 5.3; 37.4﻿ (Konso Cultural Landscape)","Cultural:EthKon(iii), (v)","7008140000000000000♠14,000 (35,000)",2006,5.300000190734863,37.400001525878906,Ethiopia,/wiki/Konso,https://en.wikipedia.org/wiki/Konso
"Koutammakou, the Land of the Batammariba","TogKara Region, Togo10°04′00″N 1°08′00″E﻿ / ﻿10.066667°N 1.133333°E﻿ / 10.066667; 1.133333﻿ (Koutammakou, the Land of the Batammariba)","Cultural:TogKou(v), (vi)","7008500000000000000♠50,000 (120,000)",2006,10.066666603088379,1.1333333253860474,Togo,"/wiki/Koutammakou,_the_Land_of_the_Batammariba","https://en.wikipedia.org/wiki/Koutammakou,_the_Land_of_the_Batammariba"
Ksar of Ait-Ben-Haddou,"MorAït Benhaddou, Morocco31°02′50″N 7°07′44″W﻿ / ﻿31.047220°N 7.128890°W﻿ / 31.047220; -7.128890﻿ (Ksar of Ait-Ben-Haddou)","Cultural:MorKsa(iv), (v)",7004300000000000000♠3 (7.4),2006,31.047222137451172,7.128889083862305,Morocco,/wiki/Ksar_of_Ait-Ben-Haddou,https://en.wikipedia.org/wiki/Ksar_of_Ait-Ben-Haddou
Kunta Kinteh Island and Related Sites[d],"GambBanjul,Lower Niumi,and Upper Niumi, Gambia13°18′58″N 16°21′26″W﻿ / ﻿13.316166°N 16.357194°W﻿ / 13.316166; -16.357194﻿ (Kunta Kinteh Island and Related Sites)","Cultural:GamJam(iii), (vi)",7004800000000000000♠8 (20),2006,13.31611156463623,16.357221603393555,Gambia,NA,https://en.wikipedia.orgNA
Lamu Old Town,"KenLamu, Kenya2°16′05″S 40°54′07″E﻿ / ﻿2.268°S 40.902°E﻿ / -2.268; 40.902﻿ (Lamu Old Town)","Cultural:KenLam(ii), (iv), (vi)",7005160000000000000♠16 (40),2006,2.2680554389953613,40.90194320678711,Kenya,/wiki/Lamu_Old_Town,https://en.wikipedia.org/wiki/Lamu_Old_Town
Le Morne Cultural Landscape,"MauritiusRivière Noire District, Mauritius20°27′07″S 57°19′42″E﻿ / ﻿20.451944°S 57.328333°E﻿ / -20.451944; 57.328333﻿ (Le Morne Cultural Landscape)","Cultural:MauritiusLem(iii), (vi)",7006349000000000000♠349 (860),2006,20.45194435119629,57.32833480834961,NA,/wiki/Le_Morne_Cultural_Landscape,https://en.wikipedia.org/wiki/Le_Morne_Cultural_Landscape
Lower Valley of the Awash,"EthAfar Region, Ethiopia11°06′00″N 40°34′46″E﻿ / ﻿11.100060°N 40.579390°E﻿ / 11.100060; 40.579390﻿ (Lower Valley of the Awash)","Cultural:EthLow(ii), (iii), (iv)",—,2006,11.100000381469727,40.579444885253906,Ethiopia,/wiki/Awash_River,https://en.wikipedia.org/wiki/Awash_River
Lower Valley of the Omo,"EthSouthern Nations, Nationalities, and People's Region, Ethiopia4°48′00″N 35°58′00″E﻿ / ﻿4.8°N 35.966667°E﻿ / 4.8; 35.966667﻿ (Lower Valley of the Omo)","Cultural:EthLow(iii), (iv)",—,2006,4.800000190734863,35.96666717529297,Ethiopia,/wiki/Omo_River_(Ethiopia),https://en.wikipedia.org/wiki/Omo_River_(Ethiopia)
M'Zab Valley,"AlgGhardaïa, Algeria32°29′00″N 3°41′00″E﻿ / ﻿32.483330°N 3.683330°E﻿ / 32.483330; 3.683330﻿ (M'Zab Valley)","Cultural:AlgMZa(ii), (iii), (v)","7007400000000000000♠4,000 (9,900)",2006,32.483333587646484,3.683333396911621,Algeria,NA,https://en.wikipedia.orgNA
Mapungubwe Cultural Landscape,"SouthLimpopo, South Africa22°11′33″S 29°14′20″E﻿ / ﻿22.192500°S 29.238890°E﻿ / -22.192500; 29.238890﻿ (Mapungubwe Cultural Landscape)","Cultural:SouthMap(ii), (iii),(iv), (v)","7008281680000000000♠28,168 (69,600)",2006,22.1924991607666,29.238889694213867,South Africa,/wiki/Mapungubwe_Cultural_Landscape,https://en.wikipedia.org/wiki/Mapungubwe_Cultural_Landscape
Matobo Hills,"ZimMatabeleland South, Zimbabwe20°30′S 28°30′E﻿ / ﻿20.5°S 28.5°E﻿ / -20.5; 28.5﻿ (Matobo Hills)","Cultural:ZimMat(iii), (v), (vi)","7009205000000000000♠205,000 (510,000)",2006,20.5,28.5,Zimbabwe,/wiki/Matobo_Hills,https://en.wikipedia.org/wiki/Matobo_Hills
Mbanza-Kongo,"ANGZaire Province, Angola6°16′04″S 14°14′53″E﻿ / ﻿6.267778°S 14.248056°E﻿ / -6.267778; 14.248056﻿ (Mbanza-Kongo)","Cultural:MorMedinaofMarra(iii), (iv), (vi)",7005892900000000000♠89.29 (220.6),2006,6.267777919769287,14.248055458068848,Angola,/wiki/Mbanza-Kongo,https://en.wikipedia.org/wiki/Mbanza-Kongo
Medina of Essaouira (formerly Mogador),"MorEssaouira, Morocco31°31′00″N 9°46′10″W﻿ / ﻿31.516670°N 9.769440°W﻿ / 31.516670; -9.769440﻿ (Medina of Essaouira (formerly Mogador))","Cultural:MorEss(ii), (iv)",7005300000000000000♠30 (74),2006,31.516666412353516,9.769444465637207,Morocco,/wiki/Essaouira,https://en.wikipedia.org/wiki/Essaouira
Medina of Fez,"MorFez, Morocco34°03′40″N 4°58′40″W﻿ / ﻿34.061110°N 4.977780°W﻿ / 34.061110; -4.977780﻿ (Medina of Fez)","Cultural:MorMedinaofFez(ii), (v)",7006280000000000000♠280 (690),2006,34.06111145019531,4.97777795791626,Morocco,/wiki/Fes_el_Bali,https://en.wikipedia.org/wiki/Fes_el_Bali
Medina of Marrakesh,"MorMarrakesh, Morocco31°37′53″N 7°59′12″W﻿ / ﻿31.631390°N 7.986670°W﻿ / 31.631390; -7.986670﻿ (Medina of Marrakesh)","Cultural:MorMedinaofMarra(i), (ii),(iv), (v)","7007110700000000000♠1,107 (2,740)",2006,31.631389617919922,7.986666679382324,Morocco,/wiki/Medina_of_Marrakesh,https://en.wikipedia.org/wiki/Medina_of_Marrakesh
Medina of Sousse,"TunSousse Governorate, Tunisia35°49′40″N 10°38′19″E﻿ / ﻿35.827780°N 10.638610°E﻿ / 35.827780; 10.638610﻿ (Medina of Sousse)","Cultural:TunMedinaofSou(iii), (iv), (v)",7005320000000000000♠32 (79),2006,35.82777786254883,10.63861083984375,Tunisia,/wiki/Medina_of_Sousse,https://en.wikipedia.org/wiki/Medina_of_Sousse
Medina of Tétouan (formerly known as Titawin),"MorTétouan, Morocco35°34′15″N 5°22′00″W﻿ / ﻿35.570830°N 5.366670°W﻿ / 35.570830; -5.366670﻿ (Medina of Tétouan (formerly known as Titawin))","Cultural:MorMedinaofTet(ii), (iv), (v)",7004700000000000000♠7 (17),2006,35.57083511352539,5.366666793823242,Morocco,/wiki/T%C3%A9touan,https://en.wikipedia.org/wiki/T%C3%A9touan
Medina of Tunis,"TunTunis, Tunisia36°49′00″N 10°10′00″E﻿ / ﻿36.816670°N 10.166670°E﻿ / 36.816670; 10.166670﻿ (Medina of Tunis)","Cultural:TunMedinaofTun(ii), (iii), (v)",—,2006,36.81666564941406,10.166666984558105,Tunisia,/wiki/Medina_of_Tunis,https://en.wikipedia.org/wiki/Medina_of_Tunis
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,"EgyGiza, Egypt29°58′34″N 31°07′49″E﻿ / ﻿29.976040°N 31.130410°E﻿ / 29.976040; 31.130410﻿ (Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur)","Cultural:EgyMem(i), (iii), (vi)","7008163580000000000♠16,358 (40,420)",2006,29.976110458374023,31.130277633666992,Egypt,NA,https://en.wikipedia.orgNA
Nubian Monuments from Abu Simbel to Philae,"EgyAswan, Egypt22°20′11″N 31°37′34″E﻿ / ﻿22.336390°N 31.626110°E﻿ / 22.336390; 31.626110﻿ (Nubian Monuments from Abu Simbel to Philae)","Cultural:EgyNub(i), (iii), (vi)",7006374000000000000♠374 (920),2006,22.336389541625977,31.62611198425293,Egypt,/wiki/Nubian_Monuments_from_Abu_Simbel_to_Philae,https://en.wikipedia.org/wiki/Nubian_Monuments_from_Abu_Simbel_to_Philae
Old Towns of Djenné,"MaliDjenné, Mali13°54′23″N 4°33′18″W﻿ / ﻿13.906390°N 4.555000°W﻿ / 13.906390; -4.555000﻿ (Old Towns of Djenné)","Cultural:MaliOld(iii), (iv)",—,2006,13.906389236450195,4.554999828338623,Mali,/wiki/Old_Towns_of_Djenn%C3%A9,https://en.wikipedia.org/wiki/Old_Towns_of_Djenn%C3%A9
Old Town of Ghadamès,"LibGhadames, Libya30°08′00″N 9°30′00″E﻿ / ﻿30.133333°N 9.5°E﻿ / 30.133333; 9.5﻿ (Old Town of Ghadamès)",Cultural:LibGha(v),—,2006,30.133333206176758,9.5,Libya,/wiki/Ghadames,https://en.wikipedia.org/wiki/Ghadames
Osun-Osogbo Sacred Grove,"Niger2Osogbo, Nigeria7°45′20″N 4°33′08″E﻿ / ﻿7.755560°N 4.552220°E﻿ / 7.755560; 4.552220﻿ (Osun-Osogbo Sacred Grove)","Cultural:Niger2Osu(ii), (iii), (vi)",7005750000000000000♠75 (190),2006,2,7.755555629730225,Niger,/wiki/Osun-Osogbo_Sacred_Grove,https://en.wikipedia.org/wiki/Osun-Osogbo_Sacred_Grove
Portuguese City of Mazagan (El Jadida),"MorEl Jadida, Morocco33°15′24″N 8°30′07″W﻿ / ﻿33.256670°N 8.501940°W﻿ / 33.256670; -8.501940﻿ (Portuguese City of Mazagan (El Jadida))","Cultural:MorPor(ii), (iv)",7004800000000000000♠8 (20),2006,33.25666809082031,8.501944541931152,Morocco,/wiki/El_Jadida,https://en.wikipedia.org/wiki/El_Jadida
Punic Town of Kerkuane and its Necropolis,"TunNabeul Governorate, Tunisia36°56′47″N 11°05′57″E﻿ / ﻿36.946390°N 11.099170°E﻿ / 36.946390; 11.099170﻿ (Punic Town of Kerkuane and its Necropolis)",Cultural:TunPun(iii),—,2006,36.946388244628906,11.099166870117188,Tunisia,NA,https://en.wikipedia.orgNA
"Rabat, Modern Capital and Historic City: a Shared Heritage","MorRabat-Salé-Zemmour-Zaer, Morocco34°01′27″N 6°49′22″W﻿ / ﻿34.024167°N 6.822778°W﻿ / 34.024167; -6.822778﻿ (Rabat, Modern Capital and Historic City: a Shared Heritage)","Cultural:RabMor(ii), (iv)",7006349000000000000♠349 (860),2006,34.024166107177734,6.82277774810791,Morocco,NA,https://en.wikipedia.orgNA
Richtersveld Cultural and Botanical Landscape,"SouthNorthern Cape, South Africa28°36′00″S 17°12′14″E﻿ / ﻿28.6°S 17.203889°E﻿ / -28.6; 17.203889﻿ (Richtersveld Cultural and Botanical Landscape)","Cultural:SouthRic(iv), (v)","7009160000000000000♠160,000 (400,000)",2006,28.600000381469727,17.203887939453125,South Africa,/wiki/Richtersveld_Cultural_and_Botanical_Landscape,https://en.wikipedia.org/wiki/Richtersveld_Cultural_and_Botanical_Landscape
Robben Island,"SouthWestern Cape, South Africa33°48′00″S 18°22′00″E﻿ / ﻿33.8°S 18.366667°E﻿ / -33.8; 18.366667﻿ (Robben Island)","Cultural:SouthRob(iii), (vi)","7006475000000000000♠475 (1,170)",2006,33.79999923706055,18.366666793823242,South Africa,/wiki/Robben_Island,https://en.wikipedia.org/wiki/Robben_Island
Rock-Art Sites of Tadrart Acacus,"LibFezzan, Libya24°50′00″N 10°20′00″E﻿ / ﻿24.833330°N 10.333330°E﻿ / 24.833330; 10.333330﻿ (Rock-Art Sites of Tadrart Acacus)",Cultural:LibRoc(iii),—,2006,24.83333396911621,10.333333015441895,Libya,/wiki/Rock-Art_Sites_of_Tadrart_Acacus,https://en.wikipedia.org/wiki/Rock-Art_Sites_of_Tadrart_Acacus
"Rock-Hewn Churches, Lalibela","EthAmhara Region, Ethiopia12°01′46″N 39°02′26″E﻿ / ﻿12.029350°N 39.040420°E﻿ / 12.029350; 39.040420﻿ (Rock-Hewn Churches, Lalibela)","Cultural:EthRoc(i), (ii), (iii)",—,2006,12.029444694519043,39.04055404663086,Ethiopia,"/wiki/Lalibela,_Ethiopia","https://en.wikipedia.org/wiki/Lalibela,_Ethiopia"
